標號,時間,類型,交易對,金額,資費差,before倉位餘額,after倉位餘額,before現金餘額,after現金餘額,總餘額
1,2025-01-02 08:00:00,進場,ETHWUSDT_binance_bybit,-3300.0,-,0.0,3300.0,10000.0,6700.0,10000.0
2,2025-01-02 08:00:00,進場手續費,ETHWUSDT_binance_bybit,-2.31,-,3300.0,3300.0,6700.0,6697.69,9997.69
2,2025-01-02 08:00:00,進場,POPCATUSDT_binance_bybit,-3300.0,-,3300.0,6600.0,6697.69,3397.69,9997.69
3,2025-01-02 08:00:00,進場手續費,POPCATUSDT_binance_bybit,-2.31,-,6600.0,6600.0,3397.69,3395.38,9995.38
3,2025-01-02 08:00:00,進場,XCNUSDT_binance_bybit,-3300.0,-,6600.0,9900.0,3395.38,95.38,9995.38
4,2025-01-02 08:00:00,進場手續費,XCNUSDT_binance_bybit,-2.31,-,9900.0,9900.0,95.38,93.07,9993.07
4,2025-01-03 08:00:00,資金費率,ETHWUSDT_binance_bybit,0.85,0.00051432,9900.0,9900.0,93.07,93.92,9993.92
5,2025-01-03 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.52,0.00031307,9900.0,9900.0,93.92,94.44,9994.44
6,2025-01-03 08:00:00,資金費率,XCNUSDT_binance_bybit,3.99,0.00241611,9900.0,9900.0,94.44,98.42,9998.42
7,2025-01-04 08:00:00,資金費率,ETHWUSDT_binance_bybit,1.0,0.00060389,9900.0,9900.0,98.42,99.42,9999.42
8,2025-01-04 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.01,4.01e-06,9900.0,9900.0,99.42,99.42,9999.42
9,2025-01-04 08:00:00,資金費率,XCNUSDT_binance_bybit,0.61,0.00037243,9900.0,9900.0,99.42,100.04,10000.04
10,2025-01-05 08:00:00,資金費率,ETHWUSDT_binance_bybit,1.62,0.00098262,9900.0,9900.0,100.04,101.66,10001.66
11,2025-01-05 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.52,0.00031796,9900.0,9900.0,101.66,102.19,10002.19
12,2025-01-05 08:00:00,資金費率,XCNUSDT_binance_bybit,4.46,0.00270378,9900.0,9900.0,102.19,106.65,10006.65
13,2025-01-06 08:00:00,資金費率,ETHWUSDT_binance_bybit,0.75,0.00045343,9900.0,9900.0,106.65,107.39,10007.39
14,2025-01-06 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.65,0.00039134,9900.0,9900.0,107.39,108.04,10008.04
15,2025-01-06 08:00:00,資金費率,XCNUSDT_binance_bybit,4.88,0.00295906,9900.0,9900.0,108.04,112.92,10012.92
16,2025-01-07 08:00:00,資金費率,ETHWUSDT_binance_bybit,2.07,0.00125426,9900.0,9900.0,112.92,114.99,10014.99
17,2025-01-07 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.29,0.00017677,9900.0,9900.0,114.99,115.28,10015.28
18,2025-01-07 08:00:00,資金費率,XCNUSDT_binance_bybit,3.9,0.00236358,9900.0,9900.0,115.28,119.18,10019.18
19,2025-01-08 08:00:00,資金費率,ETHWUSDT_binance_bybit,0.56,0.00033713,9900.0,9900.0,119.18,119.74,10019.74
20,2025-01-08 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.26,0.00015979,9900.0,9900.0,119.74,120.0,10020.0
21,2025-01-08 08:00:00,資金費率,XCNUSDT_binance_bybit,2.24,0.00135748,9900.0,9900.0,120.0,122.24,10022.24
22,2025-01-09 08:00:00,資金費率,ETHWUSDT_binance_bybit,0.03,2.095e-05,9900.0,9900.0,122.24,122.28,10022.28
23,2025-01-09 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.32,0.00019615,9900.0,9900.0,122.28,122.6,10022.6
24,2025-01-09 08:00:00,資金費率,XCNUSDT_binance_bybit,0.53,0.00031985,9900.0,9900.0,122.6,123.13,10023.13
25,2025-01-10 08:00:00,資金費率,ETHWUSDT_binance_bybit,0.15,8.961e-05,9900.0,9900.0,123.13,123.28,10023.28
26,2025-01-10 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.12,7.533e-05,9900.0,9900.0,123.28,123.4,10023.4
27,2025-01-10 08:00:00,資金費率,XCNUSDT_binance_bybit,4.11,0.00248791,9900.0,9900.0,123.4,127.51,10027.51
28,2025-01-11 08:00:00,資金費率,ETHWUSDT_binance_bybit,0.41,0.00024973,9900.0,9900.0,127.51,127.92,10027.92
29,2025-01-11 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.42,0.00025647,9900.0,9900.0,127.92,128.34,10028.34
30,2025-01-11 08:00:00,資金費率,XCNUSDT_binance_bybit,4.55,0.00275757,9900.0,9900.0,128.34,132.89,10032.89
31,2025-01-12 08:00:00,資金費率,ETHWUSDT_binance_bybit,0.15,8.849e-05,9900.0,9900.0,132.89,133.04,10033.04
32,2025-01-12 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.46,0.00027613,9900.0,9900.0,133.04,133.49,10033.49
